PBO Assigned To,Address
"Mind, Body, Spirit Healing",201 Houston ST
Search Investigation,201 Houston ST
Vacant,201 Houston ST
The Halliwell Co.,201 Houston ST
Vacant,201 Houston ST
Vacant,201 Houston ST
Lincoln Court Apartments,307 Walnut ST
Lincoln Court Apartments,310 Union AVE
Treehouse Pediatric Therapy,2 Mooseheart RD
City of Batavia Well House,38W503 Fabyan PKY
Harold Hall Quarry Park,400 S Water ST
Lincoln Court Apartments,405 S Batavia AVE
Lincoln Court Apartments,429 S Batavia AVE
Burrito Parilla Mexicana,76 S Randall RD
Vacant,118 E Wilson ST
Batavia Smoke And Liquor,122 E Wilson ST
Anderson Advertising,215 E Wilson ST
Wilson Street Mercantile Center,222 E Wilson ST
Kon Printing,316 E Wilson ST
Insurance & Mortgage Services,321 E Wilson ST
Rosati's Pizza,322 E Wilson ST
Vacant,324 E Wilson ST
Vacant,326 E Wilson ST
Dimples Doughnuts,328 E Wilson ST
Vacant,330 E Wilson ST
Wilson Cleaners,332 E Wilson ST
Vacant,334 E Wilson ST
Vacant,336 E Wilson ST
Schroeder Crane,470 S River ST
Connon Electric,472 S River ST
AC Paving,480 S River ST
Ted Hover Office,486 S River ST
Ramirez Truck & Trailer Repair,496 S River ST
A/C Paving,500 S River ST
Miguel's Auto Repair,510 S River ST
Premium Waterproofing,520 S River ST
Comfort Care,530 S River ST
"CD Sewer Water, Inc.",532 S River ST
Lomeli's Truck Beds & Repair,534 S River ST
Not Just Grass Landscaping,540 S River ST
Henson Concrete,550 S River ST
Building Blocks Learning Academy,1100 W Wilson ST
Vacant,1124 W Wilson ST
Dairy Queen,1134 W Wilson ST
Weirich & Sons Heating & Air Conditionin,5 S Van Nortwick AVE
Windmill Custom Countertops,907 W Wilson ST
Pipe Lining Supply,910 W Wilson ST
"Prarie State Packaging, Inc.",917 W Wilson ST
Aerocell Packaging,919 W Wilson ST
Bumper-to-Bumper,920 W Wilson ST
Vacant,931 W Wilson ST
Brinka Chiropractic Center,940 W Wilson ST
"Advance Automotive, Inc.",945 W Wilson ST
Wazio Orthodontics,950 W Wilson ST
Wade's World,951 W Wilson ST
BoJ-E Bikes,26 N Island AVE
Edward Jones,34 N Island AVE
Fox River Dental,34 N Island AVE
Rosenberg Insurance- Allstate,34 N Island AVE
Creating Space Therapy,34 N Island AVE
Prairie View Orthodontics,34 N Island AVE
Green Light Driving School,34 N Island AVE
"Rand D Toney,OD",34 N Island AVE
Ziggy's Nail Spa,40 N Island AVE
Chang Lee Tae Kwon Do,50 N Island AVE
BOJ-E-Bikes,60 N Island AVE
Windmill Grille and Pizzeria,90 N Island AVE
Batavia Auto Mart,1025 N Washington AVE
